PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,FamilySize
1,0,3,"Braund, Mr. Owen Harris",male,-0.10140115968516693,1,0,A/5 21171,-0.5024451714361923,S,2
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,0.8083376272699871,1,0,PC 17599,0.7868452935884461,C,2
3,1,3,"Heikkinen, Miss. Laina",female,0.1260335370536216,0,0,STON/O2. 3101282,-0.4888542575852486,S,1
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,0.6377616047158957,1,0,113803,0.4207302360686478,S,2
5,0,3,"Allen, Mr. William Henry",male,0.6377616047158957,0,0,373450,-0.4863374216869257,S,1
6,0,3,"Moran, Mr. James",male,-1.3522919917485037,0,0,330877,-0.47811642890864375,Q,1
7,0,1,"McCarthy, Mr. Timothy J",male,1.7180764142251412,0,0,17463,0.395813560675251,S,1
8,0,3,"Palsson, Master. Gosta Leonard",male,-1.2385746433791096,3,1,349909,-0.22408312108167944,S,5
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,0.18289221123831872,0,2,347742,-0.4242561406845337,S,3
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,-0.556270553162744,1,0,237736,-0.04295550208861426,C,2
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,-1.1248572950097153,1,1,PP 9549,-0.312172377522981,S,3
12,1,1,"Bonnell, Miss. Elizabeth",female,1.9455111109639296,0,0,113783,-0.11384570873513637,S,1
13,0,3,"Saundercock, Mr. William Henry",male,-0.21511850805456117,0,0,A/5. 2151,-0.4863374216869257,S,1
14,0,3,"Andersson, Mr. Anders Johan",male,0.8651963014546843,1,5,347082,-0.01870931177853076,S,7
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,-0.556270553162744,0,0,350406,-0.4902797934380587,S,1
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,1.7749350884098383,0,0,248706,-0.3262666585535892,S,1
17,0,3,"Rice, Master. Eugene",male,-1.2385746433791096,4,1,382652,-0.06199888922968463,Q,6
18,1,2,"Williams, Mr. Charles Eugene",male,-1.3522919917485037,0,0,244373,-0.3866707201133388,S,1
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,0.41032690797710725,1,0,345763,-0.2859972841804228,S,2
20,1,3,"Masselmani, Mrs. Fatima",female,-1.3522919917485037,0,0,2649,-0.5029485386158568,C,1
21,0,2,"Fynney, Mr. Joseph J",male,0.6377616047158957,0,0,239865,-0.12491978668775715,S,1
22,1,2,"Beesley, Mr. Lawrence",male,0.5809029305311987,0,0,248698,-0.3866707201133388,S,1
23,1,3,"McGowan, Miss. Anna ""Annie""",female,-0.49941187897804684,0,0,330923,-0.4867562231804066,Q,1
24,1,1,"Sloper, Mr. William Thompson",male,0.23975088542301587,0,0,113788,0.06635974158478332,S,1
25,0,3,"Palsson, Miss. Torborg Danira",female,-0.8974225982709267,3,1,349909,-0.22408312108167944,S,5
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,0.8083376272699871,1,5,347077,-0.016444159470040135,S,7
27,0,3,"Emir, Mr. Farred Chehab",male,-1.3522919917485037,0,0,2631,-0.5029485386158568,C,1
28,0,1,"Fortune, Mr. Charles Alexander",male,-0.2719771822392583,3,2,19950,4.647001076532463,S,6
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,-1.3522919917485037,0,0,330959,-0.48977642625839407,Q,1
30,0,3,"Todoroff, Mr. Lalio",male,-1.3522919917485037,0,0,349216,-0.4894421904510968,S,1
31,0,1,"Uruchurtu, Don. Manuel E",male,0.9220549756393814,0,0,PC 17601,-0.09027201697708476,C,1
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,-1.3522919917485037,1,0,PC 17569,2.301728820789,C,2
33,1,3,"Glynn, Miss. Mary Agatha",female,-1.3522919917485037,0,0,335677,-0.49237782784290063,Q,1
34,0,2,"Wheadon, Mr. Edward H",male,2.4003805044415065,0,0,C.A. 24579,-0.43700743807979686,S,1
35,0,1,"Meyer, Mr. Edgar Joseph",male,0.23975088542301587,1,0,PC 17604,1.0060617003323709,C,2
36,0,1,"Holverson, Mr. Alexander Oskar",male,1.0357723240087757,1,0,113789,0.39858208016340624,S,2
37,1,3,"Mamee, Mr. Hanna",male,-1.3522919917485037,0,0,2677,-0.5028639729296732,C,1
38,0,3,"Cann, Mr. Ernest Charles",male,-0.15825983386986406,0,0,A./5. 2152,-0.4863374216869257,S,1
39,0,3,"Vander Planke, Miss. Augusta Maria",female,-0.32883585642395546,2,0,345764,-0.2859972841804228,S,3
40,1,3,"Nicola-Yarred, Miss. Jamila",female,-0.556270553162744,1,0,2651,-0.42207354059350805,C,2
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,0.9220549756393814,1,0,7546,-0.4576454924460446,S,2
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,0.18289221123831872,1,0,11668,-0.22559322262067316,S,2
43,0,3,"Kraeff, Mr. Theodor",male,-1.3522919917485037,0,0,349253,-0.4894421904510968,C,1
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,-1.1817159691944124,1,2,SC/Paris 2123,0.18876253192945994,C,4
45,1,3,"Devaney, Miss. Margaret Delia",female,-0.2719771822392583,0,0,330958,-0.48977642625839407,Q,1
46,0,3,"Rogers, Mr. William John",male,-1.3522919917485037,0,0,S.C./A.4. 23567,-0.4863374216869257,S,1
47,0,3,"Lennon, Mr. Denis",male,-1.3522919917485037,1,0,370371,-0.3363340021468808,Q,2
48,1,3,"O'Driscoll, Miss. Bridget",female,-1.3522919917485037,0,0,14311,-0.49237782784290063,Q,1
49,0,3,"Samaan, Mr. Youssef",male,-1.3522919917485037,2,0,2662,-0.21191774308354583,C,3
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,-0.32883585642395546,1,0,349237,-0.29002422161773944,S,2
51,0,3,"Panula, Master. Juha Niilo",male,-0.9542812724556239,4,1,3101295,0.1506737441786005,S,6
52,0,3,"Nosworthy, Mr. Richard Cater",male,-0.15825983386986406,0,0,A/4. 39886,-0.4913710934835715,S,1
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,1.4337830433016556,1,0,PC 17572,0.8964967865378598,C,2
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,0.296609559607713,1,0,2926,-0.12491978668775715,S,2
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,2.3435218302568095,0,1,113509,0.5995101505357573,C,2
56,1,1,"Woolner, Mr. Hugh",male,-1.3522919917485037,0,0,19947,0.06635974158478332,S,1
57,1,2,"Rugg, Miss. Emily",female,-0.15825983386986406,0,0,C.A. 31026,-0.43700743807979686,S,1
